NAME	control1	control2	control3	control4	CT10A1.A	CT10A2.A	CT10A.B	BRCA1.51	BRCA1.52	BRCA1.53	BRCA1.54	Rad51.41	Rad51.42	Rad51.43	Rad51.44	Brit.2A2	Brit.2B	Brit.2C	Brit.2D
GINS3	1310.96	1249.03	1148.02	1171.29	905.41	914.93	999.67	347.68	293.22	303.68	284.53	328.73	341.52	322.16	301.87	441.34	456.69	450.77	445.43
GINS4	508.99	612.47	502.78	467.31	917.35	874.59	561.91	223.08	232.81	225.98	207.03	174.65	154.21	154.01	164.03	263.01	245.26	237.51	264.19
GJB2	3293.06	3206.04	3259.17	3049.23	3385.79	3172.63	3579.51	606.82	392.13	397.76	409.9	592.78	575.21	614.56	500.95	650	677.59	633.88	633.16
GPSM1	229.8	208.79	214.65	216.42	271.09	302.98	490.07	1523.73	1618.43	1497.29	1522.93	1498.85	1398.78	1552.96	1486.16	1355.03	1283.1	1350.35	1175.77
HELLS	412.02	463.74	408.63	378.78	338.29	308.99	246.44	167.47	130.76	144.47	147.35	127.29	130.04	119.79	116.67	92.96	100.73	104.57	112.14
HIST1H1C	1240.63	1099.1	1072.99	1078.72	561.91	608.32	1275.69	3579.66	4107.01	4064.7	4051.27	4200.52	4294.21	5323.11	4350.61	5669.35	4464.23	4831.95	4677.82
HIST1H2BD	516.4	566.41	500.26	470.52	261.1	232.79	312.34	1576.13	1856.75	1650.73	1618.43	973.65	1155.64	1187.28	1064.93	2159.41	1687.89	1770.64	1895.72
HIST2H2AA3	761.78	706.12	673.44	680.91	461.43	446.92	1065.97	2504.99	3236.15	3063.19	3047.43	1866.2	2329.04	2886.16	2520.45	3550.73	2608.27	3048	3055.17
HIST2H2BE	236.02	301.55	230.36	255.21	262.01	254.89	899.53	2526.26	2308.73	2292.94	2341.7	2541.88	2461.56	2484.89	2456.57	987.51	1038.4	1078.52	1136.52
HLA-E	1786.46	1825.04	1839.07	1803.02	1766.72	1658.34	2081.21	3664.91	3846.77	4090.38	4203.34	4363.95	3775.83	3842.32	4174.15	4910.79	4883.65	4779.78	4635.55
HMGB3	1415.82	1672.19	1518.36	1453.88	1341.72	1263.24	1338.46	384.25	348.52	396.21	401.1	540.9	473	483.66	529.83	389.76	497.24	516.97	491.72
HSD11B2	166.66	179.34	191.3	186.55	153.81	137.86	134.04	517.45	595.29	652.24	655.94	920.42	902.32	873.13	956.29	1838.38	1708.83	1684.9	1784.95
HSD17B8	470.88	501.92	504.15	519.92	669.82	612.39	456.22	1215.19	1794.07	1623.31	1505.43	1584.19	1634.82	1607.7	1762.2	1213.83	1019.88	1106.65	1062.59
HSPCAL3	1313.77	1183.98	758.88	933.05	911.03	1038.9	970.81	443.12	547.89	494.18	518.4	373.73	450.36	485.84	409.26	176.07	155.8	158.24	166.51
HSPE1	21856.78	23204.85	20400.38	20819.58	17600.44	16866.07	10601.96	7163.11	7402.04	7897.88	6860.19	7209.69	9168.64	9918.14	8961.58	7644.95	7369.76	8137.67	7866.02
IL1R2	572.97	562.75	490.68	493.8	495.87	482.71	782.08	143.93	112.24	122.43	121.12	100.84	95.1	110.8	97.5	239.16	223.41	233.7	205.82
INSIG1	2782.01	3886.32	2414.92	2533.3	4136.86	3763.41	2413.56	1079.22	1307.48	1148.8	1242.13	1340.75	1465.45	1335.94	1359.4	978.29	1086.42	1036.96	1089.32
KCNB1	88.01	84.62	91.33	92.57	191.84	211.83	137.73	481.5	417.85	422.93	480.19	626	572.03	583.41	616.12	511.79	584.23	554.82	542.97
KIAA0513	142.96	125.1	141.18	144.57	136.06	125.85	135.34	290.71	287.31	314.06	272.6	405.42	431.38	429.08	415.43	488.57	513.99	538.44	520.74
KIF11	872.03	1020.55	1015.43	954.11	1479.2	1410.96	1018.27	500.5	373.28	371.05	436.23	453.4	367.5	421.29	403.27	452.49	517.72	490.24	500.72
KIF14	764.64	809.35	895.6	916.47	861.31	876.41	731.42	373.73	307.39	344.09	349.29	295.96	214.75	225.93	276.1	196.15	222.07	217.7	201.09
KIF2C	1258.8	1107.76	1114.12	1170.87	1110.76	1097.17	972.16	496.67	440.34	457.78	478.84	353.74	363.09	377.03	355.05	506.97	475.8	540.06	483.24
KLHDC9	105.61	97.79	98.89	95.42	93.17	91.56	82.18	228.7	221.21	258.22	222.36	297.55	311.33	297.74	311.68	385.51	333.43	324.52	332.52
KNTC1	671.89	668.29	681.08	726.22	798.39	762.78	573.49	333.77	237.94	320.77	292.22	339.72	281.77	323.71	293.37	257.06	326.89	291.63	276.72
KRT6B	33778.38	30037.97	26450.3	28536.65	24563.44	24067.87	33548.85	13692.44	12981.52	12128.95	12021.47	11370.18	9713.66	10212.44	9483.99	6529.25	6690.98	6640.86	6330.94
LAMB2	429.08	382.77	409.16	415.18	383.72	372.8	451.49	868.05	884.43	928.43	846.89	1107.09	1299.84	1202.74	1502.81	2033.59	2162.85	2184.48	2172.47
LEMD1	235.17	252.73	218.97	234.79	141.14	139.37	190.62	1634.82	1714.71	1772.2	1577.98	555.54	573.78	635.07	662.35	952.49	846.03	909.52	838.63
LHPP	98.46	95.36	97.63	95.48	136.73	124.54	126.83	234.21	264.7	246.76	249.44	335.67	338.78	309.06	268	242.88	212.3	215.87	212.42
LMNB2	4131.24	4109.52	4245.14	4249.37	3922.28	3874.95	4962.29	2074.97	1896.01	1939.81	1937.47	1547.22	1295.51	1449.15	1660.31	1339.14	1389.9	1457.93	1270.72
LOC153222	134.3	143.63	161.49	162.51	171.3	178	185.39	504.15	485.15	460.81	505.14	606.39	646.53	569.91	627.62	787.51	976.56	865.42	932.82
LOC554223	92.4	96.77	87.01	97.07	112.74	113.99	136.44	293.13	342.91	318.43	289.99	315.32	286.4	303.8	260.64	213.15	232.95	215.33	213.72
LOC649679	925.95	1116.49	955	931.26	1014.52	1323.35	1797.47	414.26	483.83	479.96	443.68	388.21	394.22	337.32	429.35	305.88	295.44	300.81	275.33
LOC729843	663.11	557.47	735.74	713.4	694.66	757.16	1103.59	1460.86	1763.9	1779.12	1687.13	1982.81	2297.53	2405.92	2567.52	3165.23	2741.13	3218.82	2829.37
LOC91431	342.29	394.31	351.6	378.08	267.61	291.46	308.46	132.8	124.25	135.82	121.79	146	121.03	130.54	138.97	118.21	127.47	122.28	121.29
LOH11CR2A	129.3	138.88	131.36	129.87	146.12	158.96	180.76	594.96	590.24	575.06	642.53	454.74	518.87	455.98	478.33	555.4	568.86	581.96	546.48
LRP8	1184.42	1300.27	1179.72	1046.21	1074.65	1092.29	827.23	250.81	238.93	218.58	224.62	184.36	179.39	162.38	184.99	118.44	124.49	133.07	124.94
LYRM5	599.79	654.5	596.89	599.9	664.87	622.81	631.74	1443.83	1531.74	1367.1	1408.81	1694.7	1719.91	1828.45	1597.62	1233.66	1358.05	1273.7	1419.16
MCM2	848.04	831.2	848.42	804.89	1034.57	857.79	866.41	244.44	224.21	217.63	231.86	209.68	232.95	216.29	206.88	376.73	397.47	431.46	416.55
MCM3	1000.12	1078.36	1143.24	1125.43	805.67	813.48	511.99	253.09	162.76	214.65	214.13	307.72	261.1	248.59	267.35	254.32	266.85	245.69	270.3
MCM5	1044.35	1010.4	927.9	1023.99	1246.28	1194.76	967.08	367.09	326.62	423.73	412.64	208.65	199.72	201.28	211.78	416.28	364.72	421.25	391.6
MCM7	15353.2	15771.86	15058.95	15275.59	11158.3	11102.25	8507.03	2871.23	2206.83	2528.29	2346.15	3142.52	3026.24	2845.84	2664.43	5592.25	4904.21	5538.95	5054.29
METTL3	1078.72	1339.23	1151.06	1094.72	1111.21	1059.99	680.06	483.66	380.25	381.29	410.05	512.3	489.96	445.78	398.98	425.62	459.77	422.19	461.89
MLF1IP	534.1	587.58	559.86	581.45	535.87	591.97	737.86	243.49	191.36	186.14	196.97	193.76	181.87	182.98	188.31	242.15	268.91	243.55	246.51
